date,percentile,variable,income
2022-01-01,82,maximum,12395.0
2022-01-01,83,maximum,12733.0
2022-01-01,84,maximum,13113.0
2022-01-01,85,maximum,13474.0
2022-01-01,86,maximum,13858.0
2022-01-01,87,maximum,14303.0
2022-01-01,88,maximum,14765.0
2022-01-01,89,maximum,15299.0
2022-01-01,90,maximum,15867.0
2022-01-01,91,maximum,16533.0
2022-01-01,92,maximum,17325.0
2022-01-01,93,maximum,18292.0
2022-01-01,94,maximum,19467.0
2022-01-01,95,maximum,20776.0
2022-01-01,96,maximum,22574.0
2022-01-01,97,maximum,25013.0
2022-01-01,98,maximum,29024.0
2022-01-01,99,maximum,37582.0
2022-01-01,100,maximum,
2019-01-01,1,mean,957.0
2019-01-01,2,mean,1284.0
2019-01-01,3,mean,1556.0
2019-01-01,4,mean,1718.0
2019-01-01,5,mean,1858.0
2019-01-01,6,mean,1993.0
2019-01-01,7,mean,2111.0
