date,state,type,staff
2014-01-01,W.P. Kuala Lumpur,nurse,4392
2015-01-01,W.P. Kuala Lumpur,nurse,8621
2016-01-01,W.P. Kuala Lumpur,nurse,9052
2017-01-01,W.P. Kuala Lumpur,nurse,7740
2018-01-01,W.P. Kuala Lumpur,nurse,9261
2019-01-01,W.P. Kuala Lumpur,nurse,10261
2020-01-01,W.P. Kuala Lumpur,nurse,6959
2021-01-01,W.P. Kuala Lumpur,nurse,9772
2022-01-01,W.P. Kuala Lumpur,nurse,10170
2014-01-01,W.P. Kuala Lumpur,nurse_community,748
2015-01-01,W.P. Kuala Lumpur,nurse_community,724
2016-01-01,W.P. Kuala Lumpur,nurse_community,721
2017-01-01,W.P. Kuala Lumpur,nurse_community,612
2018-01-01,W.P. Kuala Lumpur,nurse_community,843
2019-01-01,W.P. Kuala Lumpur,nurse_community,737
2020-01-01,W.P. Kuala Lumpur,nurse_community,607
2021-01-01,W.P. Kuala Lumpur,nurse_community,534
2022-01-01,W.P. Kuala Lumpur,nurse_community,586
2014-01-01,W.P. Labuan,all,381
2015-01-01,W.P. Labuan,all,409
2016-01-01,W.P. Labuan,all,414
2017-01-01,W.P. Labuan,all,434
2018-01-01,W.P. Labuan,all,475
2019-01-01,W.P. Labuan,all,497
2020-01-01,W.P. Labuan,all,463
2021-01-01,W.P. Labuan,all,521
2022-01-01,W.P. Labuan,all,601
2014-01-01,W.P. Labuan,dentist,6
2015-01-01,W.P. Labuan,dentist,10
2016-01-01,W.P. Labuan,dentist,17
2017-01-01,W.P. Labuan,dentist,22
2018-01-01,W.P. Labuan,dentist,23
2019-01-01,W.P. Labuan,dentist,35
2020-01-01,W.P. Labuan,dentist,29
2021-01-01,W.P. Labuan,dentist,31
2022-01-01,W.P. Labuan,dentist,30
